[silver] env MODEL_ENABLED= false config.model.enabled= false apiKey= present
[silver] Track 1: Resume - 21 cases
  [silver] resume resume-001: fallback mode, 3 skills
  [silver] resume resume-002: fallback mode, 3 skills
  [silver] resume resume-003: fallback mode, 3 skills
  [silver] resume resume-004: fallback mode, 2 skills
  [silver] resume resume-005: fallback mode, 1 skills
  [silver] resume resume-006: fallback mode, 1 skills
  [silver] resume resume-gen-001: fallback mode, 1 skills
  [silver] resume resume-gen-002: fallback mode, 1 skills
  [silver] resume resume-gen-003: fallback mode, 0 skills
  [silver] resume resume-gen-004: fallback mode, 0 skills
  [silver] resume resume-gen-005: fallback mode, 0 skills
  [silver] resume resume-gen-006: fallback mode, 2 skills
  [silver] resume resume-gen-007: fallback mode, 1 skills
  [silver] resume resume-gen-008: fallback mode, 0 skills
  [silver] resume resume-gen-009: fallback mode, 1 skills
  [silver] resume resume-gen-010: fallback mode, 1 skills
  [silver] resume resume-gen-011: fallback mode, 2 skills
  [silver] resume resume-gen-012: fallback mode, 1 skills
  [silver] resume resume-gen-013: fallback mode, 2 skills
  [silver] resume resume-gen-014: fallback mode, 0 skills
  [silver] resume resume-gen-015: fallback mode, 0 skills
[silver] Track 2: Interview - 202 cases
  [silver] interview turn-001: score=2, action=clarify
  [silver] interview turn-002: score=5.1, action=clarify
  [silver] interview turn-003: score=2, action=clarify
  [silver] interview turn-004: score=5.1, action=clarify
  [silver] interview turn-005: score=1, action=clarify
  [silver] interview turn-006: score=4.4, action=clarify
  [silver] interview turn-007: score=1, action=clarify
  [silver] interview turn-008: score=2, action=clarify
  [silver] interview turn-009: score=4.4, action=clarify
  [silver] interview turn-010: score=6, action=clarify
  [silver] interview turn-gen-016: score=3, action=clarify
  [silver] interview turn-gen-017: score=2, action=clarify
  [silver] interview turn-gen-018: score=3.7, action=clarify
  [silver] interview turn-gen-019: score=2, action=clarify
  [silver] interview turn-gen-020: score=5.8, action=clarify
  [silver] interview turn-gen-021: score=2.7, action=clarify
  [silver] interview turn-gen-022: score=5.4, action=clarify
  [silver] interview turn-gen-023: score=2, action=clarify
  [silver] interview turn-gen-024: score=6.8, action=clarify
  [silver] interview turn-gen-025: score=2, action=clarify
  [silver] interview turn-gen-026: score=3, action=clarify
  [silver] interview turn-gen-027: score=2, action=clarify
  [silver] interview turn-gen-028: score=3.7, action=clarify
  [silver] interview turn-gen-029: score=2, action=clarify
  [silver] interview turn-gen-030: score=5.8, action=clarify
  [silver] interview turn-gen-031: score=2.7, action=clarify
  [silver] interview turn-gen-032: score=5.4, action=clarify
  [silver] interview turn-gen-033: score=2, action=clarify
  [silver] interview turn-gen-034: score=6.8, action=clarify
  [silver] interview turn-gen-035: score=2, action=clarify
  [silver] interview turn-gen-036: score=3, action=clarify
  [silver] interview turn-gen-037: score=2, action=clarify
  [silver] interview turn-gen-038: score=3.7, action=clarify
  [silver] interview turn-gen-039: score=2, action=clarify
  [silver] interview turn-gen-040: score=5.8, action=clarify
  [silver] interview turn-gen-041: score=2.7, action=clarify
  [silver] interview turn-gen-042: score=5.4, action=clarify
  [silver] interview turn-gen-043: score=2, action=clarify
  [silver] interview turn-gen-044: score=6.8, action=clarify
  [silver] interview turn-gen-045: score=2, action=clarify
  [silver] interview turn-gen-046: score=3, action=clarify
  [silver] interview turn-gen-047: score=2, action=clarify
  [silver] interview turn-gen-048: score=3.7, action=clarify
  [silver] interview turn-gen-049: score=2, action=clarify
  [silver] interview turn-gen-050: score=5.8, action=clarify
  [silver] interview turn-gen-051: score=2.7, action=clarify
  [silver] interview turn-gen-052: score=5.4, action=clarify
  [silver] interview turn-gen-053: score=2, action=clarify
  [silver] interview turn-gen-054: score=6.8, action=clarify
  [silver] interview turn-gen-055: score=2, action=clarify
  [silver] interview turn-gen-056: score=3, action=clarify
  [silver] interview turn-gen-057: score=2, action=clarify
  [silver] interview turn-gen-058: score=3.7, action=clarify
  [silver] interview turn-gen-059: score=2, action=clarify
  [silver] interview turn-gen-060: score=5.8, action=clarify
  [silver] interview turn-gen-061: score=2.7, action=clarify
  [silver] interview turn-gen-062: score=5.4, action=clarify
  [silver] interview turn-gen-063: score=2, action=clarify
  [silver] interview turn-gen-064: score=6.8, action=clarify
  [silver] interview turn-gen-065: score=2, action=clarify
  [silver] interview turn-gen-066: score=3, action=clarify
  [silver] interview turn-gen-067: score=2, action=clarify
  [silver] interview turn-gen-068: score=3.7, action=clarify
  [silver] interview turn-gen-069: score=2, action=clarify
  [silver] interview turn-gen-070: score=5.8, action=clarify
  [silver] interview turn-gen-071: score=2.7, action=clarify
  [silver] interview turn-gen-072: score=5.4, action=clarify
  [silver] interview turn-gen-073: score=2, action=clarify
  [silver] interview turn-gen-074: score=6.8, action=clarify
  [silver] interview turn-gen-075: score=2, action=clarify
  [silver] interview turn-gen-076: score=1, action=clarify
  [silver] interview turn-gen-077: score=2, action=clarify
  [silver] interview turn-gen-078: score=1, action=clarify
  [silver] interview turn-gen-079: score=1, action=clarify
  [silver] interview turn-gen-080: score=2, action=clarify
  [silver] interview turn-gen-081: score=2, action=clarify
  [silver] interview turn-gen-082: score=3.7, action=clarify
  [silver] interview turn-gen-083: score=2, action=clarify
  [silver] interview turn-gen-084: score=5.8, action=clarify
  [silver] interview turn-gen-085: score=2.7, action=clarify
  [silver] interview turn-gen-086: score=5.4, action=clarify
  [silver] interview turn-gen-087: score=2, action=clarify
  [silver] interview turn-gen-088: score=6.8, action=clarify
  [silver] interview turn-gen-089: score=2, action=clarify
  [silver] interview turn-gen-090: score=2, action=clarify
  [silver] interview turn-gen-091: score=2, action=clarify
  [silver] interview turn-gen-092: score=3.7, action=clarify
  [silver] interview turn-gen-093: score=2, action=clarify
  [silver] interview turn-gen-094: score=5.8, action=clarify
  [silver] interview turn-gen-095: score=2.7, action=clarify
  [silver] interview turn-gen-096: score=5.4, action=clarify
  [silver] interview turn-gen-097: score=2, action=clarify
  [silver] interview turn-gen-098: score=6.8, action=clarify
  [silver] interview turn-gen-099: score=2, action=clarify
  [silver] interview turn-gen-100: score=2, action=clarify
  [silver] interview turn-gen-101: score=2, action=clarify
  [silver] interview turn-gen-102: score=3.7, action=clarify
  [silver] interview turn-gen-103: score=2, action=clarify
  [silver] interview turn-gen-104: score=5.8, action=clarify
  [silver] interview turn-gen-105: score=2.7, action=clarify
  [silver] interview turn-gen-106: score=5.4, action=clarify
  [silver] interview turn-gen-107: score=2, action=clarify
  [silver] interview turn-gen-108: score=6.8, action=clarify
  [silver] interview turn-gen-109: score=2, action=clarify
  [silver] interview turn-gen-110: score=2, action=clarify
  [silver] interview turn-gen-111: score=2, action=clarify
  [silver] interview turn-gen-112: score=3.7, action=clarify
  [silver] interview turn-gen-113: score=2, action=clarify
